정류소 번호,정류소 아이디,정류소 명,GPS X 좌표,GPS Y 좌표,정류장 구분
12544,507470000,법원검찰청후문,128.9074339,35.09953518,일반
12545,507460000,더샵퍼스트월드,128.9049567,35.09698772,일반
12546,507450000,더샵퍼스트월드,128.9050211,35.09740126,일반
12547,507480000,법원검찰청후문,128.9073922,35.09915733,일반
12548,507510000,한국토지주택공사,128.910701,35.09880784,일반
12549,507490000,삼정그린코아.금강펜테리움,128.8395055,35.15078239,일반
12550,507430000,녹산초등학교,128.8367677,35.15077887,일반
12551,507440000,녹산초등학교,128.8368578,35.15063782,일반
12552,507530000,협성엘리시안,128.8396118,35.15063207,일반
12553,508300000,지사천선비교,128.8402821,35.14860321,일반
12554,508290000,지사천선비교,128.8401739,35.1481858,일반
12560,510810000,명지환승센터,128.9117333,35.09511467,일반
13001,193720101,대선주조,129.0725727,35.1965374,일반
13002,165960101,화신아파트,129.0750535,35.19821456,일반
13003,193350401,교대역,129.0799232,35.19675017,일반
13005,193510101,교대역,129.0801617,35.19491833,일반
13010,193520101,거제1치안센터,129.0780217,35.19118667,일반
13011,193510301,거제1치안센터,129.0775733,35.191215,일반
13012,193840102,법원검찰청.거제역,129.0752783,35.18935167,일반
13014,193840401,동해선거제역,129.072841,35.18918466,일반
13015,193880201,동해선거제역,129.072279,35.18915724,일반
13016,193830102,법원검찰청,129.0714801,35.18950928,일반
13017,193830101,거성교차로.종합운동장역,129.0686878,35.19084777,일반
13018,193880301,법원검찰청,129.0708444,35.19012587,일반
13019,193830401,창신초등학교.종합운동장역,129.0672226,35.19244916,일반
13020,193850302,거성교차로,129.0680025,35.18985173,일반
13021,193830201,거성교차로.종합운동장역,129.0676278,35.1899888,일반
13022,193850301,거제리안동네,129.0683863,35.18863638,일반
13023,193850101,거제리안동네,129.0690076,35.1875581,일반
13024,193860301,거제교회,129.0702778,35.18658947,일반
13025,193850102,거제교회,129.0703966,35.18603206,일반
13026,193840301,경남아파트,129.0721755,35.18680739,일반
13027,193870102,경남아파트,129.0724283,35.18668167,일반
13028,193870101,경남아파트,129.0722183,35.18635667,일반
13029,193480101,삼정그린아파트,129.0630033,35.18952102,일반
13030,193540201,삼정그린아파트,129.0632737,35.19001974,일반
13031,193570301,동해선거제해맞이역,129.069405,35.18177491,일반
13033,193580102,동해선거제해맞이역,129.0701717,35.18249,일반
13035,209020201,유림아시아드아파트.거제초교,129.0674057,35.1765225,일반
13037,164010101,하마정,129.0680996,35.17674541,일반
13040,164720101,부산시청.시청역,129.0754508,35.17796833,일반
13041,194000201,부산지방노동청.국세청,129.077692,35.1764233,일반
13042,193660301,부산지방노동청.국세청,129.0777667,35.17650667,일반
13051,193420201,연산역,129.0804726,35.18629213,일반
13055,193750201,연산교차로,129.083025,35.187205,일반
13056,193360101,연산교차로,129.0829314,35.18689781,일반
13057,193750101,웰니스병원.연산농협,129.085341,35.18878191,일반
13058,193310301,웰니스병원.연산농협,129.0849416,35.18883352,일반
13059,193320301,경찰전직지원센터,129.0881539,35.19129794,일반
13060,193310101,경찰전직지원센터,129.0886472,35.19134276,일반
13061,193320101,연안교,129.0904064,35.19278771,일반
13062,193700302,경동아파트,129.09085,35.19047667,일반
13063,193710101,경동아파트,129.0912617,35.19016167,일반
13065,193700301,연동시장,129.0927483,35.18938,일반
13068,193400303,현대아파트,129.0942217,35.185925,일반
13069,193700101,연동시장,129.0946333,35.18870167,일반
13070,193780301,연천시장,129.0961867,35.18828833,일반
13071,193700102,부산경상대학입구,129.0982269,35.18772644,일반
13072,193410102,부산경상대학교서문,129.0977667,35.18558167,일반
