,연번,"노선
번호",업체,기점,경유지,종점,"상용대수
(운행대수)",Unnamed: 7,Unnamed: 8,예비대수,"운행거리
(km)",소요시간,Unnamed: 12,배차간격,Unnamed: 14,Unnamed: 15,Unnamed: 16,운행횟수,Unnamed: 18,Unnamed: 19,Unnamed: 20,"첫차
막차"
0,,,,,,,평일,토요일,공휴일,,,"운행시간
(분)","휴식시간
(분)","평일
첨두","평일
비첨두","토요일
첨두","공휴일
첨두","평일
1대당횟수","평일
1일총횟수","토요일
1일총횟수","공휴일
1일총횟수",
16,16,24,시민,용호동,대연동,서면,23,21,20,2.0,27.2,93,15,4,6,6,6,9.2,213,193,184,"05:00 
23:00"
17,17,26,신성,감만동,부산역,"송도혜성
아파트",16,14,13,1.0,28.1,94,15,7,8,9,10,8.6875,139,123,114,"04:40 
22:40"
18,18,27,시민,용호동,부산역,충무동,22,19,18,1.0,36.7,118,15,6,7,8,9,7.181818181818182,158,137,130,"04:40 
22:35"
19,19,29,세진,금정차고지,거제리,안창마을,27,25,21,2.0,53.2,204,20,7,9,10,12,4.1,110,102,86,"04:50
21:20"
20,20,30,신한,태종대,영도대교,"수산가공
선진화단지",18,16,13,1.0,31.4,108,30,5,7,8,10,8,144,133,109,"04:35
23:10"
21,21,31,세익,,,,22,19,18,1.0,,,,,,,,3.4,74,64,60,
22,,,일광,,,,13,11,9,1.0,,,,,,,,3.4,44,37,30,
23,,,계,송정,거제리,모라주공,35,30,27,2.0,68.2,225,20,6,8,10,11,3.4,118,101,90,"04:50
22:00"
24,22,33,한창,"연제공용
차고지",서부터미널,만덕,25,23,23,1.0,49.1,170,20,7,9,9,9,5,125,115,115,"04:25 
22:05"
25,23,33-1,한창,"연제공용
차고지",만덕,서부터미널,15,13,12,1.0,38.9,135,20,9,11,12,14,6.1,91,79,73,"05:00
22:05"
26,24,36,일광,청강리,반여동,거제역,12,11,11,1.0,60.0,210,20,16,19,21,21,4,48,44,44,05:00   21:40
27,25,37,삼신,"금정
차고지",정관,"고원3차
아파트",9,9,9,0.0,67.6,174,30,20,22,22,22,5,45,45,45,05:00   22:30
28,26,38,부일,청강리 ,황령터널,중앙공원관리사무소,10,9,8,1.0,68.7,210,25,19,28,31,33,3.8,38,34,31,"04:40 
21:50"
29,27,39,부산,기장,해운대,"용호동 남구국민
체육센터",20,18,17,1.0,58.5,187,20,9,13,15,15,4,80,70,66,05:00        22:05
30,28,40,부일,청강리,"수영
교차로","구덕
운동장",24,23,22,1.0,68.3,222,25,8,12,12,13,3.6,85,83,81,"04:40
21:50"
31,29,41,용화,민락동,부산역,충무동,21,19,15,1.0,32.9,119,15,5,8,9,10,7,147,133,105,"05:00 
 22:45"
32,30,42,삼화,회동동,수영교차로,부산역후문,17,15,14,2.0,42.7,169,20,8,13,14,15,4.8,82,73,72,"05:10
22:30"
33,31,43,삼성,회동동,서면,"중앙공원
관리사무소",18,16,15,2.0,51.7,188,35,9,12,11,12,4.833333333333333,87,80,80,"04:50
22:20"
34,32,44,일신,반여3동,"동래
사직운동장",당감4동,24,24,24,1.0,39.0,145,20,6,9,9,9,5.4,130,129,128,"04:50
22:28"
35,33,46,태진,구포3동,만덕1터널,동래중학교,11,8,8,1.0,34.4,125,15,9,13,17,17,7.4,81,61,61,"04:55
22:50"
36,34,49,삼신,"금정
차고지",부산대,"광안리
해수욕장",23,23,20,1.0,44.5,167,35,8,9,9,10,5.1,117,117,102,"05:00
22:15"
37,35,50,삼신,덕계,미남R,"법원
검찰청",14,14,13,1.0,60.2,192,35,16,16,16,17,4.5,63,63,58,"04:50
22:00"
38,36,51,화신,금정차고지,수영교차로,감만2동,34,31,30,2.0,50.2,205,25,6,8,9,9,3.9,132,120,116,"04:50
21:20"
39,37,52,일신,반여3동,서면/부산역,수정4동,24,22,21,1.0,40.8,144,20,6,9,9,10,5.375,129,117,111,"05:00
22:20"
40,38,54,삼성,연산9동,"사직
운동장",전포동,26,26,26,1.0,38.5,175,35,6,8,7.260273972602739,7.260273972602739,5,130,143,148,"04:50
22:30"
41,39,55,태영,용원,지사산단,하단,5,5,4,1.0,66.4,178,20,35,42,42,42,4.6,23,23,20,"05:30
21:30"
42,40,57,학성,사직동,과정로,진시장,21,21,21,1.0,41.1,171,20,8,11,11,11,4.6,96,96,96,"04:25 
22:30"
43,41,58,태영,"가덕도
선창",녹산공단,하단역,4,4,4,0.0,66.0,145,20,30,50,47,47,5.5,22,22,22,"04:50
22:00"
44,42,58-1,태영,"진해
청안동",명지,하단,5,5,5,1.0,42.6,123,15,30,33,32,31,6.6,33,33,33,"04:30
22:20"
