,정류소 번호,정류소 아이디,정류소 명,위도,경도,정류장 구분
312,3046,169450502.0,초량6동주민센터,35.12013667,129.0337367,시내
314,3048,169310203.0,(구)해룡약국,35.119645,129.0361217,시내
315,3049,169310301.0,화신아파트,35.11851833,129.0300883,시내
317,3051,169310302.0,동일파크맨션,35.11687512,129.0336164,시내
319,3061,169330202.0,부산역후문,35.11431167,129.0430417,시내
321,3065,169100301.0,국민은행,35.11718,129.0396433,시내
322,3066,169450401.0,초량지구대,35.11792622,129.0377286,시내
324,3068,169450503.0,부산고교,35.120503,129.038198,시내
328,3073,169140301.0,초량시장입구,35.11864627,129.0407977,시내
329,3074,169130201.0,부산역.초량시장입구,35.11687316,129.0401425,시내
330,3082,169030401.0,초량역3번출구,35.119834,129.041653,시내
331,3083,169450101.0,(구)성분도병원,35.12259833,129.0403283,시내
332,3085,169040301.0,경남여중,35.12411333,129.042385,시내
333,3086,169040201.0,인창병원,35.12268333,129.0429317,시내
335,3093,169340201.0,4부두,35.11929966,129.0475395,시내
337,3099,169610202.0,고관입구,35.12634833,129.0453733,시내
338,3101,169490101.0,동구청,35.12684333,129.045055,시내
340,3103,169440201.0,수정시장,35.12862,129.04634,시내
343,3113,169350101.0,부두119안전센터,35.12567358,129.0513983,시내
345,3115,169670401.0,남해지방해양경찰청,35.127555,129.05485,시내
347,3124,170030201.0,범일5동주민센터,35.13042333,129.05423,시내
349,3126,170000201.0,대양산업,35.13132667,129.0573333,시내
351,3128,169940101.0,보급창,35.132115,129.059665,시내
352,3129,169920201.0,자성대,35.13458667,129.06077,시내
354,3136,169950302.0,좌천동가구거리(좌천역),35.13527,129.0552367,시내
357,3144,169770201.0,시민회관.동부산우체국,35.13829333,129.0625433,시내
359,3146,169990101.0,범일동국민은행,35.13892595,129.0608784,시내
360,3149,164200201.0,자유.평화시장,35.1406355,129.0602515,시내
362,3151,208120101.0,덕림아파트,35.12631553,129.0384861,시내
364,3153,169450504.0,초량어린이집,35.11968113,129.0318436,시내
368,3157,169530101.0,수정4동(종점),35.12741667,129.0387633,시내
369,3158,169860101.0,범5호교,35.14061,129.0630217,시내
370,3159,169210202.0,범일초등학교입구,35.139865,129.051478,시내
371,3161,169210201.0,나웅하이빌,35.1388205,129.053638,시내
375,3165,169220102.0,금성고등학교,35.1344761,129.05213,시내
377,3167,169220103.0,좌이경로당,35.1329991,129.049849,시내
379,3169,169240201.0,하승빌라,35.1341937,129.048035,시내
381,3171,169170201.0,아르미나아파트,35.12552096,129.0357889,시내
382,3172,169470101.0,수정1동공영주차장,35.12484024,129.0390241,시내
383,3173,169070201.0,이편한세상부산항.(구)성분도병원,35.1224433,129.0400831,시내
384,3175,169950101.0,한성기린아파트,35.13913567,129.056577,시내
387,3178,169470102.0,한림유치원,35.12393281,129.0399311,시내
388,3179,216730101.0,부산항국제여객터미널,35.11776084,129.0483051,시내
389,3180,216740101.0,부산항국제여객터미널입구,35.11762546,129.0475176,시내
391,3182,169200302.0,수정산가족체육공원입구,35.13175671,129.0404965,시내
392,3183,169070301.0,걸스카우트회관,35.12291259,129.0393737,시내
394,3186,504670000.0,눌원빌딩,35.13684331,129.0652516,시내
396,3210,169420101.0,안창마을입구,35.1444,129.04819,시내
397,3701,509900000.0,범일역,35.13749004,129.0592891,시내
399,3703,509980000.0,부산진시장,35.13536722,129.0593234,시내
401,3706,510060000.0,자성대교차로,35.13418362,129.0588411,시내
402,3708,510070000.0,좌천역.좌천삼거리,35.13308302,129.0538661,시내
403,3709,509920000.0,봉생병원,35.13059194,129.0505044,시내
405,3711,509990000.0,부산진역,35.12891709,129.048828,시내
407,3713,509780000.0,YMCA,35.12520457,129.0450769,시내
409,3715,509810000.0,경남여중입구,35.12295981,129.0437924,시내
411,3717,510140000.0,초량역.초량교차로,35.12019929,129.0423633,시내
413,3719,509960000.0,부산역,35.11607999,129.0400122,시내
415,4001,170170301.0,미광마린타워,35.09360833,129.043095,시내
416,4002,170160101.0,영도봉래시장,35.09332833,129.0432417,시내
417,4003,170350401.0,해동병원,35.091975,129.0441417,시내
419,4005,170300301.0,영선119안전센터,35.09016333,129.04319,시내
421,4007,170300402.0,영도우체국,35.09148066,129.0420142,시내
424,4010,170180401.0,대교동,35.09262167,129.0386567,시내
425,4011,170400301.0,영도경찰서,35.09299,129.0377683,시내
428,4014,211060201.0,깡깡이예술마을,35.09129,129.0374417,시내
430,4016,211500301.0,남항동,35.09011667,129.03854,시내
431,4017,211500101.0,대교사거리,35.09146252,129.0394619,시내
434,4020,171050101.0,태종대초등학교,35.06489667,129.081115,시내
435,4021,211240301.0,남항시장,35.088785,129.04245,시내
437,4024,208940102.0,차고지,35.06341409,129.081256,시내
438,4025,170240101.0,영선아랫교차로,35.08623167,129.04011,시내
440,4028,170220502.0,영선위교차로,35.085475,129.0424417,시내
443,4031,170100101.0,부산보건고,35.08302,129.04135,시내
445,4033,170380201.0,흰여울문화마을,35.07958154,129.0441938,시내
449,4037,211170101.0,신선중학교,35.08152667,129.0448017,시내
451,4039,170430101.0,신선동주민센터,35.0833694,129.0453847,시내
453,4041,170440101.0,남도여중,35.08609,129.046145,시내
455,4043,211830102.0,삼거리이용원,35.09156667,129.0489533,시내
456,4044,170340301.0,외나무약국,35.08824,129.046955,시내
458,4046,211830101.0,영도배수지,35.09044,129.04797,시내
460,4048,170120201.0,센트럴에일린의뜰,35.09223667,129.04952,시내
463,4051,170940303.0,봉래2동마을건강센터,35.09375167,129.052765,시내
465,4053,170110103.0,영월사,35.09401167,129.0544517,시내
467,4055,170940301.0,청학고개,35.09405,129.05663,시내
468,4056,170350201.0,교통순찰대.센트럴에일린의뜰,35.09366073,129.0464317,시내
470,4059,170310201.0,한성맨션,35.09499374,129.0507646,시내
472,4061,211390302.0,HJ중공업,35.09603833,129.0536567,시내
473,4063,170310101.0,봉학초등학교,35.09564417,129.0535611,시내
474,4064,211390301.0,SK부산저유소,35.09797048,129.0556113,시내
475,4065,170310102.0,신도브래뉴아파트,35.0972777,129.0554676,시내
476,4066,210810101.0,청학시장,35.09721,129.0598767,시내
477,4067,170980302.0,청학동부산은행,35.09644667,129.0615367,시내
479,4069,170930101.0,청학성당,35.09574333,129.063065,시내
480,4070,171000302.0,청학주유소,35.09403333,129.0648033,시내
482,4072,170990101.0,영도구청,35.08944833,129.068255,시내
484,4074,209570301.0,동삼주공,35.08613833,129.07252,시내
485,4075,170990102.0,동삼주공아파트입구,35.08688833,129.0716567,시내
486,4076,171200201.0,상리종합사회복지회관,35.08539333,129.0710383,시내
488,4078,171210201.0,동삼3동주민센터,35.08443167,129.0687383,시내
490,4080,171480102.0,관리사무소,35.08517,129.0674267,시내
491,4081,171480101.0,나상가,35.08631667,129.06722,시내
492,4082,171200101.0,동삼삼거리,35.0846578,129.0722925,시내
494,4084,211100201.0,일동미라주아파트,35.08184,129.0708,시내
496,4086,209710401.0,동삼시장,35.079165,129.0703733,시내
498,4088,171130201.0,동삼국민은행앞교차로,35.076183,129.072144,시내
500,4090,171190301.0,삼창파크맨션,35.07539833,129.0725783,시내
501,4091,171060302.0,에덴금호아파트,35.07241333,129.075435,시내
503,4093,171290102.0,해양대입구,35.071358,129.07817,시내
505,4095,171050102.0,하리,35.06874667,129.0804283,시내
508,4098,171280101.0,롯데캐슬블루오션,35.07310333,129.0728533,시내
509,4099,171190302.0,KT동삼빌딩,35.07306167,129.0726417,시내
510,4100,171280401.0,중리초등학교,35.07349333,129.07194,시내
512,4102,171310302.0,벽산비치타운,35.07509667,129.07092,시내
514,4104,171070202.0,체육고등학교,35.07158588,129.0663295,시내
515,4105,171370302.0,쌍용자동차학원,35.08637475,129.0594827,시내
516,4106,171310301.0,동삼1동행정복지센터,35.07549833,129.0685217,시내
518,4108,171140201.0,절영아파트,35.07624,129.06582,시내
520,4110,171150301.0,고신대학,35.07810167,129.064515,시내
524,4114,171240202.0,청학초등학교,35.09258167,129.059755,시내
525,4115,171070302.0,영도여고,35.07268,129.0646867,시내
528,4118,170920301.0,해동중학교,35.07157167,129.069115,시내
