"정류장번호","위치명(정류장명)","설치년도","주소","좌표정보(위도)","좌표정보(경도)","데이터기준일자"
"14013","망미중소기업은행","-","수영구 망미동 824-3","35.1729688792","129.0992733294","2021-01-13"
"14014","망미중소기업은행","-","수영구 망미동 823-22","35.1729093686","129.1001223587","2021-01-13"
"14015","수영아파트","-","수영구 광안동 1038-7","35.1699156994","129.1109970687","2021-01-13"
"14017","수영아파트","-","수영구 수영동 457-21","35.1705413569","129.1108168008","2021-01-13"
"14030","수영현대아파트","-","수영구 수영동 530","35.1662110712","129.1235617959","2021-01-13"
"14031","수영현대아파트","-","수영구 수영동 402-2","35.166015","129.1232333","2021-01-13"
"14037","민락동골목시장","-","수영구 민락동 160-20","35.1590340012","129.1230145980","2021-01-13"
"14040","이화맨션","-","부산 수영구 광안동 205","35.1583265621","129.1168186558","2021-01-13"
"14045","부산지방병무청","-","수영구 망미동 640-5","35.1734338425","129.1035950715","2021-01-13"
"14046","수영교차로","-","수영구 수영동 444-15","35.1682245209","129.1170303604","2021-01-13"
"14047","수영교차로","-","수영구 수영동 444-21","35.1680566953","129.1166971100","2021-01-13"
"14048","수영사적공원","-","수영구 수영동 450-11","35.1684321189","129.1140093539","2021-01-13"
"14049","수영사적공원","-","수영구 수영동 451-12","35.1690612920","129.1130806382","2021-01-13"
"14050","수영사적공원","-","수영구 광안동 1060-4","35.16908333","129.1126783","2021-01-13"
"14051","수영사적공원","-","수영구 광안동 1070-1","35.1683222455","129.1132672792","2021-01-13"
"14052","부산지방병무청","-","수영구 망미1동 38","35.17272963","129.1034855","2021-01-13"
"14053","수영구보건소","-","수영구 광안동 99-4","35.1635838634","129.1146634057","2021-01-13"
"14054","수영구보건소","-","수영구 광안동 99-15","35.1632428056","129.1146618164","2021-01-13"
"14056","수영역","-","수영구 광안동 659-5","35.1627312799","129.1139514201","2021-01-13"
"14059","광안지하철역","-","수영구 광안동 566-26","35.1593235555","129.1131987930","2021-01-13"
"14060","광안시장(광안역)","-","수영구 광안동 205","35.1583265621","129.1168186558","2021-01-13"
"14061","광안지하철역","-","수영구 광안동 141-5","35.1591281603","129.1139231178","2021-01-13"
"14062","광안지하철역","-","수영구 광안동 205","35.1583265621","129.1168186558","2021-01-13"
"14063","광안리입구","-","수영구 광안2동 144-52","35.15687","129.1142133","2021-01-13"
"14064","광안리입구","-","수영구 광안동 471-5","35.15653491","129.1145577","2021-01-13"
"14065","광안리해수욕장","-","수영구 광안2동 151-14","35.1555006342","129.1166283435","2021-01-13"
"14067","광안농협","-","수영구 광안동 157-8","35.1574686186","129.1197991391","2021-01-13"
"14069","광안리해수욕장","-","수영구 광안동 159-19","35.1545238804","129.1173704475","2021-01-13"
"14070","수영중학교","-","수영구 광안동 508-1","35.1558372039","129.1131044262","2021-01-13"
"14071","수영중학교","-","수영구 광안동 774-26","35.1556688120","129.1123483363","2021-01-13"
"14072","공무원교육원","-","수영구 광안동 373-83","35.1531781186","129.1122293993","2021-01-13"
"14073","금련산역","-","수영구 광안2동 338-1","35.1521308519","129.1118956506","2021-01-13"
"14074","금련산역","-","수영구 광안동 334-10","35.1517770331","129.1112665809","2021-01-13"
"14075","금련산역","-","수영구 광안동 335","35.1516429636","129.1112187890","2021-01-13"
"14076","광일맨션","-","수영구 광안동 199-3","35.1507878902","129.1152299836","2021-01-13"
"14077","광일맨션","-","부산 수영구 광안동 205","35.1583265621","129.1168186558","2021-01-13"
"14078","수영구청","-","부산 수영구 남천동 78","35.1452566792","129.1096977375","2021-01-13"
"14079","수영구청","-","부산 수영구 남천동 78","35.1452566792","129.1096977375","2021-01-13"
"14080","금련산청소년수련원","-","수영구 남천동 48-14","35.1479230725","129.1101237060","2021-01-13"
